facility_name,parking_id,static_data_url,limited_access,static_data_last_updated,dynamic_data_url,locationForDisplay,matched_city,address,latitude,longitude,capacity_static,opening_hours_summary,opening_mon,opening_tue,opening_wed,opening_thu,opening_fri,opening_sat,opening_sun,open_all_year,exit_possible_all_day,open_24_7,matched_office,office_address,office_lat,office_lon,distance_km
ARNHEM-Broerenstraat,4756e8cd-cc3a-48c2-a2b2-56528d91d0da,https://npropendata.rdw.nl/parkingdata/v2/static/4756e8cd-cc3a-48c2-a2b2-56528d91d0da,True,1776224710,https://npropendata.rdw.nl/parkingdata/v2/dynamic/4756e8cd-cc3a-48c2-a2b2-56528d91d0da,"{'validityStartOfPeriod': 1776135620, 'coordinatesType': 'WGS84', 'latitude': 51.979675, 'longitude': 5.911528}",Arnhem,,51.979675,5.911528,412.0,,,,,,,,,False,False,False,TenneT,"Utrechtseweg 310, 6812 AR Arnhem",51.9851,5.8987,1.066
Parkeerterrein Assendorp (Zwolle),34c86f84-e3f0-4b2d-a600-863050574329,https://npropendata.rdw.nl/parkingdata/v2/static/34c86f84-e3f0-4b2d-a600-863050574329,False,1767323115,,,Zwolle,,,,,,,,,,,,,False,False,False,Gemeente Zwolle,"Grote Kerkplein 15, 8011 PK Zwolle",52.5168,6.083,
Bagijneweide (Zwolle),7a844f86-5e4c-4e38-b0a9-b20e04b071c7,https://npropendata.rdw.nl/parkingdata/v2/static/7a844f86-5e4c-4e38-b0a9-b20e04b071c7,False,1767323115,,,Zwolle,,,,,,,,,,,,,False,False,False,Gemeente Zwolle,"Grote Kerkplein 15, 8011 PK Zwolle",52.5168,6.083,
Blekerswegje (Zwolle),aff8f476-212e-4733-b6b1-5ffd09a4ca82,https://npropendata.rdw.nl/parkingdata/v2/static/aff8f476-212e-4733-b6b1-5ffd09a4ca82,False,1767323115,,,Zwolle,,,,,,,,,,,,,False,False,False,Gemeente Zwolle,"Grote Kerkplein 15, 8011 PK Zwolle",52.5168,6.083,
Philosofenallee (Zwolle),1771d548-9f5c-4b6b-b992-be5ac26b8af3,https://npropendata.rdw.nl/parkingdata/v2/static/1771d548-9f5c-4b6b-b992-be5ac26b8af3,False,1767323118,,,Zwolle,,,,,,,,,,,,,False,False,False,Gemeente Zwolle,"Grote Kerkplein 15, 8011 PK Zwolle",52.5168,6.083,
Parkeergarage Noordereiland - Kelder (Zwolle),7397d2c5-d5ad-44d7-8200-49a01fbff508,https://npropendata.rdw.nl/parkingdata/v2/static/7397d2c5-d5ad-44d7-8200-49a01fbff508,False,1767755242,,,Zwolle,,52.51539,6.09693,340.0,,,,,,,,,False,False,False,Gemeente Zwolle,"Grote Kerkplein 15, 8011 PK Zwolle",52.5168,6.083,0.956
Carpool Arnhem-Noord A12 (Arnhem),45ebba00-1223-4af2-84a8-8e84794ba9ce,https://npropendata.rdw.nl/parkingdata/v2/static/45ebba00-1223-4af2-84a8-8e84794ba9ce,False,1733973813,,,Arnhem,,52.017972,5.926528,235.0,,,,,,,,,False,False,False,TenneT,"Utrechtseweg 310, 6812 AR Arnhem",51.9851,5.8987,4.122
P+R Station Arnhem-Zuid (Arnhem),fcc0b905-3971-4733-89c0-de96bfcffa68,https://npropendata.rdw.nl/parkingdata/v2/static/fcc0b905-3971-4733-89c0-de96bfcffa68,False,1733973814,,,Arnhem,,51.955405,5.852332,164.0,,,,,,,,,False,False,False,TenneT,"Utrechtseweg 310, 6812 AR Arnhem",51.9851,5.8987,4.582
P+R Station Presikhaaf (Arnhem),1f002420-9361-4a14-9288-87542b06fbdd,https://npropendata.rdw.nl/parkingdata/v2/static/1f002420-9361-4a14-9288-87542b06fbdd,False,1733973814,,,Arnhem,,51.987588,5.94219,10.0,,,,,,,,,False,False,False,TenneT,"Utrechtseweg 310, 6812 AR Arnhem",51.9851,5.8987,2.991
Straatparkeren Steenstraat (Arnhem),3deb43e5-177a-4953-b170-9dab5b9bfbd8,https://npropendata.rdw.nl/parkingdata/v2/static/3deb43e5-177a-4953-b170-9dab5b9bfbd8,False,1765767989,,,Arnhem,,,,,,,,,,,,,False,False,False,TenneT,"Utrechtseweg 310, 6812 AR Arnhem",51.9851,5.8987,
Arnhemseweg (hoek  Zonnehof),a6456ee5-bd69-41aa-91d6-15127b94ed88,https://npropendata.rdw.nl/parkingdata/v2/static/a6456ee5-bd69-41aa-91d6-15127b94ed88,False,1766027341,,,Arnhem,,,,,,,,,,,,,False,False,False,TenneT,"Utrechtseweg 310, 6812 AR Arnhem",51.9851,5.8987,
Utrechtseweg (gedeelte tussen Berkenweg en Buyslaan),98b0d6ce-b8de-4f91-abdc-0918e5a8028b,https://npropendata.rdw.nl/parkingdata/v2/static/98b0d6ce-b8de-4f91-abdc-0918e5a8028b,False,1766027345,,,Utrecht,,,,,,,,,,,,,False,False,False,Gemeente Utrecht,"Stadsplateau 1, 3521 AZ Utrecht",52.0907,5.1214,
Utrechtseweg (Parkeerterrein gelegen op hoek Utrechtseweg - Bergstraat),1062d1d4-4072-4177-a095-37a663c617ba,https://npropendata.rdw.nl/parkingdata/v2/static/1062d1d4-4072-4177-a095-37a663c617ba,False,1766027343,,,Utrecht,,,,,,,,,,,,,False,False,False,Gemeente Utrecht,"Stadsplateau 1, 3521 AZ Utrecht",52.0907,5.1214,
Straatparkeren Beyerd Vlaszak (Breda),3465ccf8-1ec7-442d-94f6-fe76f3f56483,https://npropendata.rdw.nl/parkingdata/v2/static/3465ccf8-1ec7-442d-94f6-fe76f3f56483,False,1733979434,,,Breda,,,,,,,,,,,,,False,False,False,Gemeente Breda,"Claudius Prinsenlaan 10, 4811 DJ Breda",51.5719,4.7683,
Breda Singel Uitzondering,448b9288-fc13-4dc7-b26e-8a607aca78e9,https://npropendata.rdw.nl/parkingdata/v2/static/448b9288-fc13-4dc7-b26e-8a607aca78e9,False,1733979538,,,Breda,,,,,,,,,,,,,False,False,False,Gemeente Breda,"Claudius Prinsenlaan 10, 4811 DJ Breda",51.5719,4.7683,
Garage Oranje Zuid (Breda),c22bc535-e3cb-41e6-a4aa-0870f94ee478,https://npropendata.rdw.nl/parkingdata/v2/static/c22bc535-e3cb-41e6-a4aa-0870f94ee478,False,1733979436,,,Breda,,51.584263,4.77544,455.0,,,,,,,,,False,False,False,Gemeente Breda,"Claudius Prinsenlaan 10, 4811 DJ Breda",51.5719,4.7683,1.461
Garage Chasséparking (Breda),4498b82f-6da9-4887-b2a1-be921341d1d0,https://npropendata.rdw.nl/parkingdata/v2/static/4498b82f-6da9-4887-b2a1-be921341d1d0,False,1733979435,,,Breda,,51.58678,4.784122,620.0,,,,,,,,,False,False,False,Gemeente Breda,"Claudius Prinsenlaan 10, 4811 DJ Breda",51.5719,4.7683,1.983
Breda Centrum Uitzondering,dca87990-050a-42aa-a79e-fdd6bd76662f,https://npropendata.rdw.nl/parkingdata/v2/static/dca87990-050a-42aa-a79e-fdd6bd76662f,False,1733979528,,,Breda,,,,,,,,,,,,,False,False,False,Gemeente Breda,"Claudius Prinsenlaan 10, 4811 DJ Breda",51.5719,4.7683,
Carpool Breda-West A58/A16 (Breda),094738fc-d353-4976-ba2b-72104d18cd2b,https://npropendata.rdw.nl/parkingdata/v2/static/094738fc-d353-4976-ba2b-72104d18cd2b,False,1733979436,,,Breda,,51.579129,4.721101,103.0,,,,,,,,,False,False,False,Gemeente Breda,"Claudius Prinsenlaan 10, 4811 DJ Breda",51.5719,4.7683,3.359
UTRECHT-Galgenwaard,361b771e-4754-41ac-b566-ebd60f9e471a,https://npropendata.rdw.nl/parkingdata/v2/static/361b771e-4754-41ac-b566-ebd60f9e471a,True,1776224711,https://npropendata.rdw.nl/parkingdata/v2/dynamic/361b771e-4754-41ac-b566-ebd60f9e471a,"{'validityStartOfPeriod': 1776135627, 'coordinatesType': 'WGS84', 'latitude': 52.07843, 'longitude': 5.14378}",Utrecht,,52.07843,5.14378,1008.0,,,,,,,,,False,False,False,Gemeente Utrecht,"Stadsplateau 1, 3521 AZ Utrecht",52.0907,5.1214,2.049
Terrein Ziekenhuis Rijnstate P2 (Arnhem),e5bd4434-b686-410c-ae91-9604850defb3,https://npropendata.rdw.nl/parkingdata/v2/static/e5bd4434-b686-410c-ae91-9604850defb3,False,1733981552,,,Arnhem,,52.000106,5.9078,,,,,,,,,,False,False,False,TenneT,"Utrechtseweg 310, 6812 AR Arnhem",51.9851,5.8987,1.781
Garage Velperpoort (Arnhem),30c0e701-c2c6-4a19-abd4-6fe053d8a3ed,https://npropendata.rdw.nl/parkingdata/v2/static/30c0e701-c2c6-4a19-abd4-6fe053d8a3ed,False,1733981653,,,Arnhem,,51.985234,5.91878,125.0,,,,,,,,,False,False,False,TenneT,"Utrechtseweg 310, 6812 AR Arnhem",51.9851,5.8987,1.375
Breda Singel,531bdf37-ede4-4230-a5db-337c9fe630c6,https://npropendata.rdw.nl/parkingdata/v2/static/531bdf37-ede4-4230-a5db-337c9fe630c6,False,1733979538,,,Breda,,,,,,,,,,,,,False,False,False,Gemeente Breda,"Claudius Prinsenlaan 10, 4811 DJ Breda",51.5719,4.7683,
Breda Centrum Uitzondering_1,275a5ca8-2ab5-4659-a61b-90831fb59bb8,https://npropendata.rdw.nl/parkingdata/v2/static/275a5ca8-2ab5-4659-a61b-90831fb59bb8,False,1733979527,,,Breda,,,,,,,,,,,,,False,False,False,Gemeente Breda,"Claudius Prinsenlaan 10, 4811 DJ Breda",51.5719,4.7683,
ZWOLLE-Centrum,27821ffa-cbe5-4fef-b5c6-2000da03a95a,https://npropendata.rdw.nl/parkingdata/v2/static/27821ffa-cbe5-4fef-b5c6-2000da03a95a,True,1776224709,https://npropendata.rdw.nl/parkingdata/v2/dynamic/27821ffa-cbe5-4fef-b5c6-2000da03a95a,"{'validityStartOfPeriod': 1776135626, 'coordinatesType': 'WGS84', 'latitude': 52.514027, 'longitude': 6.097661}",Zwolle,,52.514027,6.097661,323.0,,,,,,,,,False,False,False,Gemeente Zwolle,"Grote Kerkplein 15, 8011 PK Zwolle",52.5168,6.083,1.039
Park & Ride De Uithof (Utrecht),bd888244-a96f-4a43-ae68-102b88976f24,https://npropendata.rdw.nl/parkingdata/v2/static/bd888244-a96f-4a43-ae68-102b88976f24,False,1733981372,,,Utrecht,,,,,,,,,,,,,False,False,False,Gemeente Utrecht,"Stadsplateau 1, 3521 AZ Utrecht",52.0907,5.1214,
Terrein Amphia Ziekenhuis locatie Langendijk (Breda),b01e8d8c-b9d5-4cb6-bdf5-45071e9b58cb,https://npropendata.rdw.nl/parkingdata/v2/static/b01e8d8c-b9d5-4cb6-bdf5-45071e9b58cb,False,1733981632,,,Breda,,51.575612,4.762343,,,,,,,,,,False,False,False,Gemeente Breda,"Claudius Prinsenlaan 10, 4811 DJ Breda",51.5719,4.7683,0.583
Terrein Amphia Ziekenhuis locatie Molengracht (Breda),99d78e86-853a-4186-99b2-2cfa172cd41d,https://npropendata.rdw.nl/parkingdata/v2/static/99d78e86-853a-4186-99b2-2cfa172cd41d,False,1733981632,,,Breda,,51.581302,4.798806,,,,,,,,,,False,False,False,Gemeente Breda,"Claudius Prinsenlaan 10, 4811 DJ Breda",51.5719,4.7683,2.353
Garage Ziekenhuis Rijnstate P1 (Arnhem),d8c5bc43-1657-4869-932f-82cc57bb1960,https://npropendata.rdw.nl/parkingdata/v2/static/d8c5bc43-1657-4869-932f-82cc57bb1960,False,1733981553,,,Arnhem,,52.000677,5.907528,1592.0,,,,,,,,,False,False,False,TenneT,"Utrechtseweg 310, 6812 AR Arnhem",51.9851,5.8987,1.835
Garage De Prins (Breda),07f8962e-d251-4055-b9a8-0752024b355e,https://npropendata.rdw.nl/parkingdata/v2/static/07f8962e-d251-4055-b9a8-0752024b355e,False,1733979438,,,Breda,,51.590999,4.770443,470.0,,,,,,,,,False,False,False,Gemeente Breda,"Claudius Prinsenlaan 10, 4811 DJ Breda",51.5719,4.7683,2.129
P+R Breda-Prinsenbeek (Breda),8bcd7b6b-caaf-4190-801c-622990c5d4df,https://npropendata.rdw.nl/parkingdata/v2/static/8bcd7b6b-caaf-4190-801c-622990c5d4df,False,1733979437,,,Breda,,51.606007,4.721919,60.0,,,,,,,,,False,False,False,Gemeente Breda,"Claudius Prinsenlaan 10, 4811 DJ Breda",51.5719,4.7683,4.965
P+R Papendorp (Utrecht),c911e80d-476f-42e1-ae67-e70c3debfde5,https://npropendata.rdw.nl/parkingdata/v2/static/c911e80d-476f-42e1-ae67-e70c3debfde5,False,1733981396,,,Utrecht,,52.069693,5.083057,500.0,,,,,,,,,False,False,False,Gemeente Utrecht,"Stadsplateau 1, 3521 AZ Utrecht",52.0907,5.1214,3.51
Garage Kruisstraat (Utrecht),5c7a3167-55bd-441f-bd09-60e97503a603,https://npropendata.rdw.nl/parkingdata/v2/static/5c7a3167-55bd-441f-bd09-60e97503a603,False,1733981395,https://npropendata.rdw.nl/parkingdata/v2/dynamic/5c7a3167-55bd-441f-bd09-60e97503a603,,Utrecht,,52.09373,5.129327,105.0,,,,,,,,,False,False,False,Gemeente Utrecht,"Stadsplateau 1, 3521 AZ Utrecht",52.0907,5.1214,0.638
P+R Westraven (Utrecht),a74b3e44-095d-4329-bf00-ba753085526c,https://npropendata.rdw.nl/parkingdata/v2/static/a74b3e44-095d-4329-bf00-ba753085526c,False,1733981397,,,Utrecht,,52.058107,5.105118,1000.0,,,,,,,,,False,False,False,Gemeente Utrecht,"Stadsplateau 1, 3521 AZ Utrecht",52.0907,5.1214,3.791
P+R Stationsweg (Breda),0958e08b-94be-44c6-95a2-3815bf0eba53,https://npropendata.rdw.nl//parkingdata/v2/static/0958e08b-94be-44c6-95a2-3815bf0eba53,True,1618826319,https://npropendata.rdw.nl//parkingdata/v2/dynamic/0958e08b-94be-44c6-95a2-3815bf0eba53,,Breda,,51.59507,4.781971,89.0,,,,,,,,,False,False,False,Gemeente Breda,"Claudius Prinsenlaan 10, 4811 DJ Breda",51.5719,4.7683,2.744
Terrein Amphia Ziekenhuis locatie Langendijk (Breda),c32cd193-5e55-4857-8eff-b5283ddb816d,https://npropendata.rdw.nl/parkingdata/v2/static/c32cd193-5e55-4857-8eff-b5283ddb816d,False,1733981631,,,Breda,,,,,,,,,,,,,False,False,False,Gemeente Breda,"Claudius Prinsenlaan 10, 4811 DJ Breda",51.5719,4.7683,
Garage P4 Stationsstraat (Utrecht),294157b9-5428-41d8-8f3a-252193ebe97d,https://npropendata.rdw.nl/parkingdata/v2/static/294157b9-5428-41d8-8f3a-252193ebe97d,False,1733981558,https://npropendata.rdw.nl/parkingdata/v2/dynamic/294157b9-5428-41d8-8f3a-252193ebe97d,,Utrecht,,52.0913,5.11184,391.0,,,,,,,,,False,False,False,Gemeente Utrecht,"Stadsplateau 1, 3521 AZ Utrecht",52.0907,5.1214,0.657
Garage Hoog Catharijne P1 (utrecht),40212393-05d9-45a4-a287-123af9ad325a,https://npropendata.rdw.nl/parkingdata/v2/static/40212393-05d9-45a4-a287-123af9ad325a,False,1733981557,https://npropendata.rdw.nl/parkingdata/v2/dynamic/40212393-05d9-45a4-a287-123af9ad325a,,Utrecht,,52.089612,5.113428,359.0,,,,,,,,,False,False,False,Gemeente Utrecht,"Stadsplateau 1, 3521 AZ Utrecht",52.0907,5.1214,0.558
BREDA-Centrum,e8ea0d92-041b-4dc2-9871-74e32fb5dee6,https://npropendata.rdw.nl/parkingdata/v2/static/e8ea0d92-041b-4dc2-9871-74e32fb5dee6,True,1776224724,https://npropendata.rdw.nl/parkingdata/v2/dynamic/e8ea0d92-041b-4dc2-9871-74e32fb5dee6,"{'validityStartOfPeriod': 1776135628, 'coordinatesType': 'WGS84', 'latitude': 51.58571, 'longitude': 4.772487}",Breda,,51.58571,4.772487,360.0,,,,,,,,,False,False,False,Gemeente Breda,"Claudius Prinsenlaan 10, 4811 DJ Breda",51.5719,4.7683,1.563
ZWOLLE-Maagjesbolwerk,b6b6f67c-9366-4cb4-a11c-938780e1008e,https://npropendata.rdw.nl/parkingdata/v2/static/b6b6f67c-9366-4cb4-a11c-938780e1008e,True,1776224709,https://npropendata.rdw.nl/parkingdata/v2/dynamic/b6b6f67c-9366-4cb4-a11c-938780e1008e,"{'validityStartOfPeriod': 1776135626, 'coordinatesType': 'WGS84', 'latitude': 52.512115, 'longitude': 6.088003}",Zwolle,,52.512115,6.088003,453.0,,,,,,,,,False,False,False,Gemeente Zwolle,"Grote Kerkplein 15, 8011 PK Zwolle",52.5168,6.083,0.621
UTRECHT-La Vie,ded2fb4e-c545-4ecf-8edf-54c45bd9511e,https://npropendata.rdw.nl/parkingdata/v2/static/ded2fb4e-c545-4ecf-8edf-54c45bd9511e,True,1776224711,https://npropendata.rdw.nl/parkingdata/v2/dynamic/ded2fb4e-c545-4ecf-8edf-54c45bd9511e,"{'validityStartOfPeriod': 1776135648, 'coordinatesType': 'WGS84', 'latitude': 52.09407, 'longitude': 5.114951}",Utrecht,,52.09407,5.114951,344.0,,,,,,,,,False,False,False,Gemeente Utrecht,"Stadsplateau 1, 3521 AZ Utrecht",52.0907,5.1214,0.578
Terrein Oude Vest (Breda),defc29fe-7065-4cbd-a158-2eed638c40d6,https://npropendata.rdw.nl/parkingdata/v2/static/defc29fe-7065-4cbd-a158-2eed638c40d6,False,1733981633,,,Breda,,51.586703,4.778702,55.0,,,,,,,,,False,False,False,Gemeente Breda,"Claudius Prinsenlaan 10, 4811 DJ Breda",51.5719,4.7683,1.796
P+R De Uithof (Utrecht),d63b1eee-2a7b-4739-b802-516ca69e6613,https://npropendata.rdw.nl/parkingdata/v2/static/d63b1eee-2a7b-4739-b802-516ca69e6613,False,1733981398,,,Utrecht,,52.091446,5.178853,500.0,,,,,,,,,False,False,False,Gemeente Utrecht,"Stadsplateau 1, 3521 AZ Utrecht",52.0907,5.1214,3.926
Parkeerterrein Utrechtseweg,51ea8919-d21e-4f02-bb8a-742a77384da1,https://npropendata.rdw.nl/parkingdata/v2/static/51ea8919-d21e-4f02-bb8a-742a77384da1,False,1733974601,,,Utrecht,,52.08386,5.237367,20.0,,,,,,,,,False,False,False,Gemeente Utrecht,"Stadsplateau 1, 3521 AZ Utrecht",52.0907,5.1214,7.96
P+R Stationsweg (Breda),b17c99c0-65af-4451-a700-a21b24fc611e,https://npropendata.rdw.nl/parkingdata/v2/static/b17c99c0-65af-4451-a700-a21b24fc611e,False,1733981526,https://npropendata.rdw.nl/parkingdata/v2/dynamic/b17c99c0-65af-4451-a700-a21b24fc611e,,Breda,,51.595,4.78184,94.0,,,,,,,,,False,False,False,Gemeente Breda,"Claudius Prinsenlaan 10, 4811 DJ Breda",51.5719,4.7683,2.734
Gemeente Utrecht (GPKP),2984eeb6-24f3-4a44-86b1-02fd93ceb573,https://npropendata.rdw.nl/parkingdata/v2/static/2984eeb6-24f3-4a44-86b1-02fd93ceb573,False,1758942766,,,Utrecht,,,,,,,,,,,,,False,False,False,Gemeente Utrecht,"Stadsplateau 1, 3521 AZ Utrecht",52.0907,5.1214,
P+R Station (Breda),d5565e93-2f9f-4074-8548-e631b72bae66,https://npropendata.rdw.nl/parkingdata/v2/static/d5565e93-2f9f-4074-8548-e631b72bae66,False,1733981525,https://npropendata.rdw.nl/parkingdata/v2/dynamic/d5565e93-2f9f-4074-8548-e631b72bae66,,Breda,,51.596259,4.777855,728.0,,,,,,,,,False,False,False,Gemeente Breda,"Claudius Prinsenlaan 10, 4811 DJ Breda",51.5719,4.7683,2.788
ZWOLLE-P+R Zwolle,ee748840-6d7e-4be6-980e-5e26ba76ba24,https://npropendata.rdw.nl/parkingdata/v2/static/ee748840-6d7e-4be6-980e-5e26ba76ba24,False,1776224709,https://npropendata.rdw.nl/parkingdata/v2/dynamic/ee748840-6d7e-4be6-980e-5e26ba76ba24,,Zwolle,,,,,,,,,,,,,False,False,False,Gemeente Zwolle,"Grote Kerkplein 15, 8011 PK Zwolle",52.5168,6.083,
Autodateplaats Bredalaan,c15dc043-5c04-4dc8-bce9-1c0b42ae5963,https://npropendata.rdw.nl/parkingdata/v2/static/c15dc043-5c04-4dc8-bce9-1c0b42ae5963,False,1765855834,,,Breda,,,,,,,,,,,,,False,False,False,Gemeente Breda,"Claudius Prinsenlaan 10, 4811 DJ Breda",51.5719,4.7683,
Utrecht niet fiscaal,dd0fde8f-072a-4769-959c-0680278628d5,https://npropendata.rdw.nl/parkingdata/v2/static/dd0fde8f-072a-4769-959c-0680278628d5,False,1775099402,,,Utrecht,,,,,,,,,,,,,False,False,False,Gemeente Utrecht,"Stadsplateau 1, 3521 AZ Utrecht",52.0907,5.1214,
Utrecht niet fiscaal,832e8b58-c50a-4771-82e6-83af457887ff,https://npropendata.rdw.nl/parkingdata/v2/static/832e8b58-c50a-4771-82e6-83af457887ff,False,1733974535,,,Utrecht,,,,,,,,,,,,,False,False,False,Gemeente Utrecht,"Stadsplateau 1, 3521 AZ Utrecht",52.0907,5.1214,
Markt / Oude Bredaseweg,6a39816c-dfba-4a12-8b47-14081af1bee3,https://npropendata.rdw.nl/parkingdata/v2/static/6a39816c-dfba-4a12-8b47-14081af1bee3,False,1767324577,,,Breda,,,,,,,,,,,,,False,False,False,Gemeente Breda,"Claudius Prinsenlaan 10, 4811 DJ Breda",51.5719,4.7683,
Arnhemsepoort Huissen (Lingewaard),18fac46a-3e8b-4ce2-9aab-c5725a41f135,https://npropendata.rdw.nl/parkingdata/v2/static/18fac46a-3e8b-4ce2-9aab-c5725a41f135,False,1733980925,,,Arnhem,,51.940447,5.941326,86.0,,,,,,,,,False,False,False,TenneT,"Utrechtseweg 310, 6812 AR Arnhem",51.9851,5.8987,5.76
Parkeerterrein Rijkerswoerdse Plassen (Arnhem),93550168-249c-4331-b5d5-8d094a2d0911,https://npropendata.rdw.nl/parkingdata/v2/static/93550168-249c-4331-b5d5-8d094a2d0911,False,1720672122,,,Arnhem,,51.94226,5.86649,450.0,,,,,,,,,False,False,False,TenneT,"Utrechtseweg 310, 6812 AR Arnhem",51.9851,5.8987,5.25
Carpool Ommen/Zwolle A28 (Zwolle),4c47a00e-2457-4ef7-ad5e-1dceb73ff450,https://npropendata.rdw.nl/parkingdata/v2/static/4c47a00e-2457-4ef7-ad5e-1dceb73ff450,False,1733981699,,,Zwolle,,52.529642,6.148988,45.0,,,,,,,,,False,False,False,Gemeente Zwolle,"Grote Kerkplein 15, 8011 PK Zwolle",52.5168,6.083,4.687
Carpool A28 Zwolle-Zuid (Zwolle),157f7b8e-dd64-454b-a5e1-d903352298d7,https://npropendata.rdw.nl/parkingdata/v2/static/157f7b8e-dd64-454b-a5e1-d903352298d7,False,1733981700,,,Zwolle,,52.506351,6.065098,77.0,,,,,,,,,False,False,False,Gemeente Zwolle,"Grote Kerkplein 15, 8011 PK Zwolle",52.5168,6.083,1.679
ZE zone Zwolle,10f0c634-5d3a-49d5-98f5-bb182c656f64,https://npropendata.rdw.nl/parkingdata/v2/static/10f0c634-5d3a-49d5-98f5-bb182c656f64,False,1733981714,,,Zwolle,,,,,,,,,,,,,False,False,False,Gemeente Zwolle,"Grote Kerkplein 15, 8011 PK Zwolle",52.5168,6.083,
ZE zone Utrecht,12ff01c3-1993-44d7-a337-be2f9067fc80,https://npropendata.rdw.nl/parkingdata/v2/static/12ff01c3-1993-44d7-a337-be2f9067fc80,False,1733981715,,,Utrecht,,,,,,,,,,,,,False,False,False,Gemeente Utrecht,"Stadsplateau 1, 3521 AZ Utrecht",52.0907,5.1214,
Carpool De Meern A12 Noord (Utrecht),55c732c6-77dd-430c-a000-eb166bc99d71,https://npropendata.rdw.nl/parkingdata/v2/static/55c732c6-77dd-430c-a000-eb166bc99d71,False,1759893008,,,Utrecht,,,,,,,,,,,,,False,False,False,Gemeente Utrecht,"Stadsplateau 1, 3521 AZ Utrecht",52.0907,5.1214,
Carpool De Meern A12 Zuid (Utrecht),a9988c54-5973-4486-bc21-8e6c2fa39d17,https://npropendata.rdw.nl/parkingdata/v2/static/a9988c54-5973-4486-bc21-8e6c2fa39d17,False,1759893008,,,Utrecht,,,,,,,,,,,,,False,False,False,Gemeente Utrecht,"Stadsplateau 1, 3521 AZ Utrecht",52.0907,5.1214,
Carpool Oog in Al A2 (Utrecht),b4ce6748-011e-4523-b429-d60e45885fa0,https://npropendata.rdw.nl/parkingdata/v2/static/b4ce6748-011e-4523-b429-d60e45885fa0,False,1759893008,,,Utrecht,,,,,,,,,,,,,False,False,False,Gemeente Utrecht,"Stadsplateau 1, 3521 AZ Utrecht",52.0907,5.1214,
P+R Station Utrecht Leidsche Rijn (Utrecht),68ab0d8d-3886-4f96-bed4-fb9b9cb74fbf,https://npropendata.rdw.nl/parkingdata/v2/static/68ab0d8d-3886-4f96-bed4-fb9b9cb74fbf,False,1759893009,,,Utrecht,,,,,,,,,,,,,False,False,False,Gemeente Utrecht,"Stadsplateau 1, 3521 AZ Utrecht",52.0907,5.1214,
P+R Station Utrecht Lunetten (Utrecht),c7124542-c4ba-4351-90d8-2db43eabd709,https://npropendata.rdw.nl/parkingdata/v2/static/c7124542-c4ba-4351-90d8-2db43eabd709,False,1759893009,,,Utrecht,,,,,,,,,,,,,False,False,False,Gemeente Utrecht,"Stadsplateau 1, 3521 AZ Utrecht",52.0907,5.1214,
P+R Station Utrecht Overvecht (Utrecht),02dfbb4b-9e89-47e9-ab85-28d87e85ba50,https://npropendata.rdw.nl/parkingdata/v2/static/02dfbb4b-9e89-47e9-ab85-28d87e85ba50,False,1759893009,,,Utrecht,,,,,,,,,,,,,False,False,False,Gemeente Utrecht,"Stadsplateau 1, 3521 AZ Utrecht",52.0907,5.1214,
P+R Station Utrecht Terwijde (Utrecht),b6632c0e-a559-4381-a732-f8c52c0ce4f6,https://npropendata.rdw.nl/parkingdata/v2/static/b6632c0e-a559-4381-a732-f8c52c0ce4f6,False,1759893009,,,Utrecht,,,,,,,,,,,,,False,False,False,Gemeente Utrecht,"Stadsplateau 1, 3521 AZ Utrecht",52.0907,5.1214,
Utrecht niet fiscaal,f6f7c2a0-d453-445f-a015-12a001bb85e4,https://npropendata.rdw.nl/parkingdata/v2/static/f6f7c2a0-d453-445f-a015-12a001bb85e4,False,1759893011,,,Utrecht,,,,,,,,,,,,,False,False,False,Gemeente Utrecht,"Stadsplateau 1, 3521 AZ Utrecht",52.0907,5.1214,
Gehandicapten Utrecht,52b18571-c387-4a58-a4a0-288e14c2e091,https://npropendata.rdw.nl/parkingdata/v2/static/52b18571-c387-4a58-a4a0-288e14c2e091,False,1759893016,,,Utrecht,,,,,,,,,,,,,False,False,False,Gemeente Utrecht,"Stadsplateau 1, 3521 AZ Utrecht",52.0907,5.1214,
Ficaal gebied Utrecht,99e60991-f4bf-456c-9045-4b8bf6644926,https://npropendata.rdw.nl/parkingdata/v2/static/99e60991-f4bf-456c-9045-4b8bf6644926,False,1759893021,,,Utrecht,,,,,,,,,,,,,False,False,False,Gemeente Utrecht,"Stadsplateau 1, 3521 AZ Utrecht",52.0907,5.1214,
Gehandicapten parkeren Utrecht,f908819b-83cf-4a78-8f5c-82790bfc9b37,https://npropendata.rdw.nl/parkingdata/v2/static/f908819b-83cf-4a78-8f5c-82790bfc9b37,False,1759893021,,,Utrecht,,,,,,,,,,,,,False,False,False,Gemeente Utrecht,"Stadsplateau 1, 3521 AZ Utrecht",52.0907,5.1214,
ZE Zone Utrecht,b9e50c02-819a-4b7f-98d7-dee3aeb60034,https://npropendata.rdw.nl/parkingdata/v2/static/b9e50c02-819a-4b7f-98d7-dee3aeb60034,False,1736307408,,,Utrecht,,,,,,,,,,,,,False,False,False,Gemeente Utrecht,"Stadsplateau 1, 3521 AZ Utrecht",52.0907,5.1214,
